scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"mongodb-restart","2026-04-18T05:48:32.715Z","fault","15","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:32.715Z","fault","15","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:33.215Z","fault","16","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","2",""
"mongodb-restart","2026-04-18T05:48:33.215Z","fault","16","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","2",""
"mongodb-restart","2026-04-18T05:48:33.216Z","fault","16","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:34.714Z","fault","16","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:34.715Z","fault","16","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:34.715Z","fault","16","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:34.715Z","fault","16","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:35.215Z","fault","17","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","2",""
"mongodb-restart","2026-04-18T05:48:35.215Z","fault","17","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:35.215Z","fault","17","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:36.714Z","fault","17","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:36.714Z","fault","17","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:36.714Z","fault","17","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:36.714Z","fault","17","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:37.214Z","fault","18","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:37.214Z","fault","18","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:37.215Z","fault","18","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","2",""
"mongodb-restart","2026-04-18T05:48:38.713Z","fault","18","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:38.713Z","fault","18","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:38.713Z","fault","18","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:38.714Z","fault","18","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:39.214Z","fault","19","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","0",""
"mongodb-restart","2026-04-18T05:48:39.215Z","fault","19","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","2",""
"mongodb-restart","2026-04-18T05:48:39.215Z","fault","19","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","2",""
"mongodb-restart","2026-04-18T05:48:40.713Z","fault","19","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:40.714Z","fault","19","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:40.714Z","fault","19","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:40.714Z","fault","19","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:41.213Z","fault","20","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:41.214Z","fault","20","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
