scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"cpu-throttle","2026-04-18T05:49:47.409Z","fault","10","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","11",""
"cpu-throttle","2026-04-18T05:49:47.699Z","fault","10","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","300",""
"cpu-throttle","2026-04-18T05:49:47.522Z","fault","10","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","123",""
"cpu-throttle","2026-04-18T05:49:47.801Z","fault","10","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","402",""
"cpu-throttle","2026-04-18T05:49:47.798Z","fault","10","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","398",""
"cpu-throttle","2026-04-18T05:49:49.399Z","fault","11","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:49.410Z","fault","11","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","12",""
"cpu-throttle","2026-04-18T05:49:49.410Z","fault","11","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","12",""
"cpu-throttle","2026-04-18T05:49:49.517Z","fault","11","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","119",""
"cpu-throttle","2026-04-18T05:49:49.516Z","fault","11","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","118",""
"cpu-throttle","2026-04-18T05:49:49.806Z","fault","11","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","408",""
"cpu-throttle","2026-04-18T05:49:49.704Z","fault","11","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","305",""
"cpu-throttle","2026-04-18T05:49:51.399Z","fault","12","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:51.409Z","fault","12","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","10",""
"cpu-throttle","2026-04-18T05:49:51.409Z","fault","12","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","10",""
"cpu-throttle","2026-04-18T05:49:51.502Z","fault","12","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","103",""
"cpu-throttle","2026-04-18T05:49:51.503Z","fault","12","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","103",""
"cpu-throttle","2026-04-18T05:49:51.714Z","fault","12","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","315",""
"cpu-throttle","2026-04-18T05:49:51.721Z","fault","12","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","322",""
"cpu-throttle","2026-04-18T05:49:53.398Z","fault","13","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","0",""
"cpu-throttle","2026-04-18T05:49:53.409Z","fault","13","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","11",""
"cpu-throttle","2026-04-18T05:49:53.409Z","fault","13","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","11",""
"cpu-throttle","2026-04-18T05:49:53.705Z","fault","13","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","307",""
"cpu-throttle","2026-04-18T05:49:53.501Z","fault","13","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","103",""
"cpu-throttle","2026-04-18T05:49:53.809Z","fault","13","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","411",""
"cpu-throttle","2026-04-18T05:49:53.806Z","fault","13","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","408",""
"cpu-throttle","2026-04-18T05:49:55.400Z","fault","14","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:55.415Z","fault","14","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","16",""
"cpu-throttle","2026-04-18T05:49:55.416Z","fault","14","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","17",""
"cpu-throttle","2026-04-18T05:49:55.603Z","fault","14","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","204",""
"cpu-throttle","2026-04-18T05:49:55.602Z","fault","14","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","203",""
"cpu-throttle","2026-04-18T05:49:55.808Z","fault","14","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","409",""
"cpu-throttle","2026-04-18T05:49:55.713Z","fault","14","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","314",""
"cpu-throttle","2026-04-18T05:49:57.398Z","fault","15","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","0",""
"cpu-throttle","2026-04-18T05:49:57.414Z","fault","15","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","15",""
"cpu-throttle","2026-04-18T05:49:57.413Z","fault","15","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","15",""
"cpu-throttle","2026-04-18T05:49:57.601Z","fault","15","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","203",""
"cpu-throttle","2026-04-18T05:49:57.600Z","fault","15","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","202",""
"cpu-throttle","2026-04-18T05:49:57.808Z","fault","15","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","410",""
"cpu-throttle","2026-04-18T05:49:57.712Z","fault","15","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","314",""
"cpu-throttle","2026-04-18T05:49:59.399Z","fault","16","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:59.412Z","fault","16","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","14",""
"cpu-throttle","2026-04-18T05:49:59.412Z","fault","16","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","14",""
"cpu-throttle","2026-04-18T05:49:59.707Z","fault","16","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","309",""
"cpu-throttle","2026-04-18T05:49:59.416Z","fault","16","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","18",""
"cpu-throttle","2026-04-18T05:49:59.805Z","fault","16","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","407",""
"cpu-throttle","2026-04-18T05:49:59.705Z","fault","16","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","307",""
"cpu-throttle","2026-04-18T05:50:01.400Z","fault","17","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","2",""
"cpu-throttle","2026-04-18T05:50:01.408Z","fault","17","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","9",""
"cpu-throttle","2026-04-18T05:50:01.408Z","fault","17","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","9",""
"cpu-throttle","2026-04-18T05:50:01.604Z","fault","17","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","205",""
"cpu-throttle","2026-04-18T05:50:01.604Z","fault","17","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","205",""
"cpu-throttle","2026-04-18T05:50:01.807Z","fault","17","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","407",""
